Word,Dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Freq_dom_PoS_SUBTLEX
discord,Noun,1,Noun,52,52
discordance,Noun,0.75,Noun.Name,3.1,3
discordant,Adjective,1,Adjective,16,16
discordantly,Adverb,1,Adverb,2,2
discords,Noun,1,Noun,3,3
discos,Noun,1,Noun,6,6
discotheque,Noun,1,Noun,10,10
discotheques,Noun,1,Noun,2,2
discount,Noun,0.89,Noun.Verb,217.26,217
discounted,Verb,1,Verb,7,7
discounting,Verb,1,Verb,7,7
discounts,Noun,1,Noun,21,21
discourage,Verb,1,Verb,68,68
discouraged,Verb,1,Verb,81,81
discouragement,Noun,1,Noun,4,4
discourages,Verb,1,Verb,8,8
discouraging,Adjective,0.63,Adjective.Verb,26.15,26
discourse,Noun,1,Noun,20,20
discourses,Noun,1,Noun,4,4
discourteous,Adjective,1,Adjective,12,12
discourteously,Name,0.5,Name.Adverb,1.1,1
discourtesy,Noun,1,Noun,6,6
discover,Verb,1,Verb,614,614
discovered,Verb,1,Verb.Adjective,1465.3,1465
discoverer,Noun,1,Noun,10,10
discoverers,Noun,1,Noun,2,2
discoveries,Noun,1,Noun,54,54
discovering,Verb,1,Verb,107,107
discovers,Verb,1,Verb,97,97
discovery,Noun,1,Noun,579,579
discredit,Verb,1,Verb,46,46
discreditable,Adjective,1,Adjective,1,1
discredited,Verb,0.68,Verb.Adjective,13.6,13
discrediting,Verb,1,Verb,5,5
discredits,Verb,1,Verb,1,1
discreet,Adjective,1,Adjective,207,207
discreetly,Adverb,1,Adverb,41,41
discrepancies,Noun,1,Noun,28,28
discrepancy,Noun,1,Noun,45,45
discrete,Adjective,1,Adjective,17,17
discretely,Adverb,1,Adverb,2,2
discretion,Noun,1,Noun,188,188
discretionary,Adjective,1,Adjective,21,21
discriminate,Verb,1,Verb,41,41
discriminated,Verb,1,Verb,11,11
discriminating,Adjective,0.68,Adjective.Verb,17.8,17
discrimination,Noun,1,Noun,111,111
discriminative,Adjective,1,Adjective,1,1
discriminator,Noun,1,Noun,1,1
discriminatory,Adjective,1,Adjective,8,8
discs,Noun,1,Noun,34,34
discus,Noun,1,Noun,12,12
discuss,Verb,1,Verb,2322,2322
discussable,Adjective,1,Adjective,1,1
discussed,Verb,1,Verb,537,537
discusses,Verb,1,Verb,10,10
discussing,Verb,1,Verb,480,480
discussion,Noun,1,Noun,618,618
discussions,Noun,1,Noun,86,86
disdain,Noun,0.96,Noun.Name,26.1,26
disdained,Verb,1,Verb,1,1
disdainful,Adjective,1,Adjective,3,3
disdaining,Verb,1,Verb,1,1
disdains,Verb,1,Verb,2,2
disease,Noun,1,Noun,1332,1332
diseased,Adjective,1,Adjective,57,57
diseases,Noun,1,Noun,196,196
disembark,Verb,1,Verb,18,18
disembarkation,Noun,1,Noun,2,2
disembarked,Verb,1,Verb,3,3
disembarking,Verb,1,Verb,5,5
disembodied,Adjective,0.9,Adjective.Verb.Name,19.1.1,19
disembodiment,Noun,1,Noun,1,1
disembody,Noun,1,Noun,1,1
disembogue,Noun,1,Noun,1,1
disembowel,Noun,1,Noun,5,5
disemboweled,Verb,1,Verb,11,11
disemboweling,Verb,1,Verb,1,1
disembowelled,Name,1,Name,1,1
disembowelling,Verb,0.75,Verb.Adjective,3.1,3
disembowelment,Noun,1,Noun,3,3
disempower,Verb,1,Verb,2,2
disenchanted,Adjective,1,Adjective,6,6
disenchanting,Adjective,1,Adjective,1,1
disenchantment,Noun,1,Noun,4,4
disenfranchise,Verb,1,Verb,1,1
disenfranchised,Adjective,0.83,Adjective.Verb,15.3,15
disenfranchisement,Noun,1,Noun,1,1
disengage,Verb,1,Verb,54,54
disengaged,Verb,1,Verb,20,20
disengagement,Noun,1,Noun,6,6
disengaging,Verb,1,Verb,7,7
disentangle,Verb,1,Verb,3,3
disentangled,Verb,1,Verb,1,1
disentwine,Verb,1,Verb,1,1
disequilibrium,Noun,1,Noun,1,1
disfavor,Noun,1,Noun,3,3
disfavour,Noun,1,Noun,1,1
disfigure,Verb,1,Verb,4,4
disfigured,Verb,0.81,Verb.Adjective,25.6,25
disfigurement,Noun,1,Noun,7,7
disfigurements,Noun,1,Noun,2,2
disfigures,Verb,1,Verb,2,2
disfiguring,Verb,0.56,Verb.Adjective,5.4,5
disfunction,Noun,1,Noun,1,1
disfunctions,Noun,1,Noun,1,1
disgorged,Verb,1,Verb,1,1
disgorgement,Noun,1,Noun,1,1
disgorging,Verb,1,Verb,1,1
disgrace,Noun,0.92,Noun.Verb,375.33,375
disgraced,Adjective,0.54,Adjective.Verb,45.38,45
disgraceful,Adjective,1,Adjective,93,93
disgracefully,Adverb,0.86,Adverb.Name,6.1,6
disgraces,Verb,1,Verb,3,3
disgracing,Verb,0.92,Verb.Noun,12.1,12
disgruntled,Adjective,1,Adjective,53,53
disguise,Noun,0.77,Noun.Verb,306.93,306
disguised,Verb,0.85,Verb.Adjective,113.2,113
disguiser,Noun,1,Noun,1,1
disguises,Noun,0.87,Noun.Verb,34.5,34
disguising,Verb,1,Verb,17,17
disgust,Noun,1,Noun,141,141
disgusted,Adjective,0.82,Adjective.Verb,74.16,74
disgustedly,Adverb,1,Adverb,1,1
disgusting,Adjective,1,Adjective,1357,1357
disgustingly,Adverb,1,Adverb,15,15
disgustingness,Noun,1,Noun,2,2
disgusts,Verb,1,Verb,26,26
dish,Noun,0.87,Noun.Verb,509.76,509
dishabille,Noun,1,Noun,1,1
disharmony,Noun,1,Noun,4,4
dishcloths,Noun,1,Noun,1,1
dishearten,Verb,1,Verb,1,1
disheartened,Verb,1,Verb,2,2
disheartening,Noun,0.5,Noun.Verb.Adjective,2.1.1,2
disheartens,Verb,1,Verb,1,1
dished,Verb,1,Verb,11,11
disher,Name,1,Name,6,6
dishes,Noun,1,Noun.Verb,602.3,602
disheveled,Verb,0.67,Verb.Adjective,6.3,6
dishevelled,Adjective,1,Adjective,5,5
dishevelment,Noun,1,Noun,1,1
dishing,Verb,1,Verb,13,13
dishonest,Adjective,1,Adjective,131,131
dishonestly,Adverb,1,Adverb,1,1
dishonesty,Noun,1,Noun,29,29
dishonor,Noun,1,Noun,61,61
dishonorable,Adjective,1,Adjective,32,32
dishonorably,Adverb,1,Adverb,9,9
dishonored,Verb,0.9,Verb.Name.Adjective,19.1.1,19
dishonoring,Verb,1,Verb,4,4
dishonors,Noun,1,Noun,2,2
dishonour,Verb,0.61,Verb.Noun,14.9,14
dishonourable,Adjective,1,Adjective,9,9
dishonoured,Verb,0.6,Verb.Adjective,9.6,9
dishonouring,Verb,1,Verb,1,1
dishpan,Noun,1,Noun,8,8
dishrag,Noun,1,Noun,5,5
dishrags,Noun,1,Noun,1,1
dishtowel,Noun,1,Noun,2,2
dishtowels,Noun,1,Noun,3,3
dishware,Noun,1,Noun,1,1
dishwasher,Noun,1,Noun,103,103
dishwashers,Noun,1,Noun,9,9
dishwashing,Adjective,0.65,Adjective.Verb,11.6,11
dishwater,Noun,0.7,Noun.Adjective,7.3,7
dishy,Adjective,1,Adjective,9,9
disillusion,Verb,1,Verb,12,12
disillusioned,Verb,0.66,Verb.Adjective,19.1,19
disillusioning,Verb,0.5,Verb.Adjective,3.3,3
disillusionment,Noun,1,Noun,14,14
disillusions,Verb,1,Verb,1,1
disimpassioned,Adjective,1,Adjective,1,1
disinclination,Noun,1,Noun,2,2
disinclined,Adjective,1,Adjective,3,3
disinfect,Verb,0.95,Verb.Noun,19.1,19
disinfectant,Noun,1,Noun,41,41
disinfected,Verb,0.83,Verb.Adjective,5.1,5
disinfecting,Verb,1,Verb,3,3
disinfection,Noun,1,Noun,4,4
disinfects,Verb,1,Verb,3,3
disinformation,Noun,1,Noun,12,12
disingenuous,Adjective,1,Adjective,7,7
disinherit,Verb,1,Verb,13,13
disinheritance,Noun,1,Noun,1,1
disinherited,Verb,0.89,Verb.Adjective,8.1,8
disinheriting,Verb,1,Verb,1,1
disinhibition,Noun,1,Noun,1,1
disintegrate,Verb,1,Verb,26,26
disintegrated,Verb,1,Verb,18,18
disintegrates,Verb,1,Verb,9,9
disintegrating,Verb,0.77,Verb.Adjective,10.3,10
disintegration,Noun,1,Noun,12,12
disintegrations,Noun,1,Noun,1,1
disintegrator,Noun,1,Noun,7,7
disintegrators,Noun,1,Noun,2,2
disinter,Verb,1,Verb,3,3
disinterest,Noun,1,Noun,6,6
disinterested,Adjective,1,Adjective,18,18
disinterestedness,Noun,1,Noun,1,1
disinterment,Noun,1,Noun,2,2
disinterred,Adjective,1,Adjective,1,1
disinvite,Noun,1,Noun,7,7
disjoin,Verb,1,Verb,1,1
disjoint,Adjective,1,Adjective,2,2
disjointed,Adjective,1,Adjective,8,8
disjunct,Adjective,1,Adjective,1,1
disk,Noun,1,Noun,338,338
diskette,Noun,1,Noun,15,15
diskettes,Noun,1,Noun,2,2
disks,Noun,1,Noun,81,81
dislike,Verb,0.8,Verb.Noun,159.4,159
disliked,Verb,0.96,Verb.Adjective,27.1,27
dislikes,Verb,0.65,Verb.Noun,20.11,20
disliking,Verb,1,Verb,9,9
dislocate,Verb,0.9,Verb.Noun,9.1,9
dislocated,Verb,0.73,Verb.Adjective.Name,55.19.1,55
dislocates,Verb,1,Verb,1,1
dislocation,Noun,1,Noun,15,15
dislocations,Noun,1,Noun,1,1
dislodge,Verb,1,Verb,13,13
dislodged,Verb,0.87,Verb.Adjective,13.2,13
dislodging,Verb,1,Verb,1,1
disloyal,Adjective,1,Adjective,49,49
disloyalty,Noun,1,Noun,23,23
dismal,Adjective,1,Adjective,48,48
dismantle,Verb,1,Verb,46,46
dismantled,Verb,1,Verb,23,23
dismantles,Verb,1,Verb,2,2
dismantling,Verb,0.6,Verb.Noun,12.8,12
dismasted,Verb,1,Verb,1,1
dismay,Noun,1,Noun,23,23
dismayed,Adjective,0.59,Adjective.Verb,13.9,13
dismaying,Adjective,1,Adjective,1,1
dismember,Verb,1,Verb,16,16
dismembered,Verb,0.53,Verb.Adjective,16.14,16
dismembering,Verb,1,Verb,3,3
dismemberment,Noun,1,Noun,18,18
dismemberments,Noun,1,Noun,1,1
dismiss,Verb,1,Verb,279,279
dismissal,Noun,1,Noun,57,57
dismissed,Verb,1,Verb,622,622
dismisses,Verb,1,Verb,2,2
dismissible,Adjective,1,Adjective,1,1
dismissing,Verb,0.88,Verb.Noun.Name.Adjective,23.1.1.1,23
dismissive,Adjective,1,Adjective,23,23
dismissively,Adverb,1,Adverb,2,2
dismount,Verb,1,Verb,73,73
dismounted,Verb,1,Verb,6,6
dismounting,Verb,1,Verb,2,2
dismounts,Verb,1,Verb,2,2
disney,Name,0.99,Name.Noun,129.1,129
disneyland,Name,1,Name,153,153
disobedience,Noun,1,Noun,39,39
disobedient,Adjective,1,Adjective,11,11
disobey,Verb,1,Verb,84,84
disobeyed,Verb,0.96,Verb.Adjective.Name,87.3.1,87
disobeying,Verb,1,Verb,32,32
disobeys,Verb,1,Verb,9,9
disodium,Noun,1,Noun,2,2
disorder,Noun,1,Noun,364,364
disordered,Adjective,0.71,Adjective.Verb,5.2,5
disorderly,Adjective,1,Adjective,69,69
disorders,Noun,1,Noun,57,57
disorganised,Verb,0.75,Verb.Adjective,3.1,3
disorganization,Noun,1,Noun,6,6
disorganize,Verb,1,Verb,2,2
disorganized,Verb,0.54,Verb.Adjective,28.24,28
disorient,Noun,0.5,Noun.Adjective,2.2,2
disorientate,Verb,1,Verb,2,2
disorientated,Adjective,1,Adjective,4,4
disorientates,Verb,1,Verb,1,1
disorientation,Noun,1,Noun,29,29
disoriented,Adjective,0.98,Adjective.Verb,61.1,61
disorienting,Verb,0.55,Verb.Adjective,6.5,6
disorients,Noun,1,Noun,1,1
disown,Verb,1,Verb,21,21
disowned,Verb,1,Verb,15,15
disowning,Verb,1,Verb,3,3
disowns,Verb,1,Verb,1,1
disparage,Verb,1,Verb,44,44
disparaged,Verb,1,Verb,15,15
disparagement,Noun,1,Noun,1,1
disparages,Verb,1,Verb,1,1
disparaging,Adjective,1,Adjective,16,16
disparagingly,Adverb,1,Adverb,2,2
disparate,Adjective,1,Adjective,7,7
disparities,Noun,1,Noun,3,3
disparity,Noun,1,Noun,10,10
dispassion,Noun,1,Noun,3,3
dispassionate,Adjective,0.57,Adjective.Verb.Noun,4.2.1,4
dispassionately,Adverb,1,Adverb,5,5
dispatch,Verb,0.5,Verb.Noun.Name,176.172.2,176
dispatched,Verb,1,Verb,81,81
dispatcher,Noun,0.92,Noun.Name,68.6,68
dispatchers,Noun,1,Noun,5,5
dispatches,Noun,1,Noun,39,39
dispatching,Verb,0.94,Verb.Noun,15.1,15
dispel,Verb,1,Verb,14,14
dispelled,Verb,1,Verb,4,4
dispelling,Verb,1,Verb,1,1
dispels,Verb,1,Verb,1,1
dispensable,Adjective,1,Adjective,9,9
dispensary,Noun,1,Noun,20,20
dispensation,Noun,1,Noun,18,18
dispensations,Noun,1,Noun,1,1
dispense,Verb,1,Verb,69,69
dispensed,Verb,0.96,Verb.Adjective,26.1,26
dispenser,Noun,0.96,Noun.Name,50.2,50
dispensers,Noun,1,Noun,5,5
dispenses,Verb,1,Verb,6,6
dispensing,Verb,0.87,Verb.Noun,13.2,13
dispersal,Noun,1,Noun,23,23
disperse,Verb,1,Verb,91,91
dispersed,Verb,0.67,Verb.Adjective,14.7,14
disperses,Verb,1,Verb,5,5
dispersing,Verb,0.55,Verb.Adjective,6.5,6
dispersion,Noun,1,Noun,3,3
dispersions,Noun,1,Noun,1,1
dispirit,Verb,0.67,Verb.Noun,2.1,2
dispirited,Verb,0.5,Verb.Adjective,1.1,1
displace,Verb,1,Verb,21,21
displaced,Verb,0.52,Verb.Adjective,24.22,24
displacement,Noun,1,Noun,43,43
displacements,Noun,1,Noun,1,1
displaces,Verb,1,Verb,2,2
displacing,Verb,1,Verb,5,5
display,Noun,0.73,Noun.Verb,315.118,315
displayed,Verb,0.97,Verb.Adjective,73.2,73
displaying,Verb,1,Verb,29,29
displays,Noun,0.59,Noun.Verb,38.26,38
displease,Verb,0.91,Verb.Noun,20.2,20
displeased,Adjective,0.62,Adjective.Verb,24.15,24
displeases,Verb,1,Verb,4,4
displeasing,Verb,1,Verb,6,6
displeasure,Noun,1,Noun,34,34
disposable,Adjective,1,Adjective,94,94
disposables,Noun,1,Noun,1,1
disposal,Noun,1,Noun,250,250
disposals,Noun,1,Noun,4,4
dispose,Verb,1,Verb,160,160
disposed,Verb,0.94,Verb.Adjective,83.5,83
disposer,Noun,1,Noun,4,4
disposes,Verb,1,Verb,7,7
disposing,Verb,0.93,Verb.Noun,26.2,26
disposition,Noun,1,Noun,110,110
dispositional,Adjective,1,Adjective,2,2
dispositions,Noun,1,Noun,6,6
dispositive,Adjective,1,Adjective,7,7
dispossess,Verb,1,Verb,4,4
dispossessed,Verb,0.6,Verb.Adjective,6.4,6
dispossesses,Verb,1,Verb,1,1
dispossessing,Adjective,1,Adjective,1,1
disproportionate,Adjective,1,Adjective,13,13
disproportionately,Adverb,1,Adverb,6,6
disprove,Verb,1,Verb,31,31
disproved,Verb,1,Verb,5,5
disproven,Verb,1,Verb,3,3
disproves,Verb,1,Verb,3,3
disproving,Verb,0.67,Verb.Noun,2.1,2
disputatious,Adjective,1,Adjective,1,1
dispute,Noun,0.79,Noun.Verb,127.33,127
disputed,Verb,0.5,Verb.Adjective,6.6,6
disputes,Noun,1,Noun,28,28
disputing,Verb,0.85,Verb.Noun,11.2,11
disqualification,Noun,1,Noun,18,18
disqualified,Verb,1,Verb,85,85
disqualifies,Verb,1,Verb,1,1
disqualify,Verb,1,Verb,33,33
disqualifying,Verb,0.88,Verb.Adjective,7.1,7
disquiet,Verb,1,Verb,4,4
disquieting,Adjective,1,Adjective,6,6
disraeli,Name,1,Name,5,5
disregard,Verb,0.65,Verb.Noun,116.62,116
disregarded,Verb,1,Verb,12,12
disregarding,Verb,1,Verb,14,14
disregards,Verb,1,Verb,2,2
disremember,Noun,1,Noun,1,1
disrepair,Noun,1,Noun,8,8
disreputable,Adjective,1,Adjective,8,8
disreputation,Noun,1,Noun,1,1
disrepute,Noun,1,Noun,7,7
disrespect,Noun,0.71,Noun.Verb,190.77,190
disrespected,Verb,1,Verb,24,24
disrespectful,Adjective,0.99,Adjective.Name,105.1,105
disrespectfully,Adverb,1,Adverb,9,9
disrespecting,Verb,0.98,Verb.Noun,39.1,39
disrespects,Verb,1,Verb,10,10
disrobe,Verb,0.93,Verb.Noun,13.1,13
disrobed,Verb,1,Verb,5,5
disrobement,Noun,1,Noun,1,1
disrupt,Verb,1,Verb,65,65
disrupted,Verb,0.93,Verb.Adjective,40.3,40
disrupter,Noun,1,Noun,2,2
disrupting,Verb,1,Verb,58,58
disruption,Noun,1,Noun,55,55
disruptions,Noun,1,Noun,8,8
disruptive,Adjective,1,Adjective,22,22
disruptor,Noun,1,Noun,3,3
disrupts,Verb,1,Verb,13,13
diss,Verb,0.5,Verb.Name.Noun,11.6.5,11
dissatisfaction,Noun,1,Noun,14,14
dissatisfactions,Noun,1,Noun,3,3
dissatisfied,Adjective,1,Adjective,49,49
disseat,Verb,1,Verb,1,1
dissect,Verb,0.96,Verb.Noun,47.2,47
dissected,Verb,0.77,Verb.Adjective,20.6,20
dissecting,Verb,0.8,Verb.Adjective.Noun,20.3.2,20
dissection,Noun,1,Noun,40,40
dissections,Noun,1,Noun,3,3
dissector,Noun,1,Noun,2,2
dissectors,Noun,1,Noun,1,1
dissects,Verb,1,Verb,2,2
dissed,Verb,0.86,Verb.Adjective,24.4,24
dissemble,Verb,1,Verb,6,6
dissembled,Verb,1,Verb,2,2
dissembler,Noun,1,Noun,1,1
dissemblers,Noun,1,Noun,1,1
dissembling,Verb,0.8,Verb.Adjective,4.1,4
dissembly,Adverb,1,Adverb,1,1
disseminate,Verb,1,Verb,4,4
disseminated,Verb,0.8,Verb.Adjective,4.1,4
disseminating,Verb,1,Verb,3,3
dissemination,Noun,1,Noun,3,3
disseminator,Noun,1,Noun,1,1
dissension,Noun,1,Noun,14,14
dissent,Noun,0.9,Noun.Verb,27.3,27
dissented,Verb,1,Verb,2,2
dissenter,Noun,1,Noun,1,1
dissenters,Noun,1,Noun,4,4
dissenting,Adjective,0.6,Adjective.Verb,6.4,6
dissertation,Noun,1,Noun,61,61
dissertations,Noun,1,Noun,3,3
disservice,Noun,0.89,Noun.Verb,16.2,16
disses,Verb,1,Verb,2,2
disseverance,Noun,1,Noun,1,1
dissident,Noun,0.67,Noun.Adjective,6.3,6
dissidents,Noun,1,Noun,7,7
dissimilar,Adjective,1,Adjective,13,13
dissimilarities,Noun,1,Noun,2,2
dissimilarity,Noun,1,Noun,1,1
dissimulate,Verb,1,Verb,1,1
dissimulated,Verb,1,Verb,1,1
dissimulation,Noun,1,Noun,1,1
dissing,Verb,1,Verb,27,27
dissipate,Verb,1,Verb,11,11
dissipated,Verb,0.83,Verb.Adjective,15.3,15
dissipates,Verb,1,Verb,2,2
dissipating,Verb,1,Verb,3,3
dissipation,Noun,1,Noun,12,12
dissociate,Verb,1,Verb,2,2
dissociated,Verb,1,Verb,1,1
dissociation,Noun,1,Noun,2,2
dissociative,Adjective,1,Adjective,29,29
dissolute,Adjective,1,Adjective,4,4
dissolutely,Adverb,1,Adverb,1,1
dissolution,Noun,1,Noun,5,5
dissolve,Verb,1,Verb,95,95
dissolved,Verb,0.98,Verb.Adjective,63.1,63
dissolves,Verb,1,Verb,21,21
dissolving,Verb,0.71,Verb.Adjective,12.5,12
dissonance,Noun,1,Noun,3,3
dissonant,Noun,0.5,Noun.Adjective,1.1,1
dissuade,Verb,1,Verb,27,27
dissuaded,Verb,1,Verb,7,7
dissuading,Verb,1,Verb,1,1
dist,Noun,1,Noun,3,3
distaff,Noun,1,Noun,8,8
distain,Verb,1,Verb,1,1
distal,Adjective,1,Adjective,32,32
distally,Adverb,1,Adverb,8,8
distance,Noun,0.99,Noun.Verb.Name,1296.9.1,1296
distanced,Verb,1,Verb,9,9
distances,Noun,1,Noun,46,46
distancing,Verb,1,Verb,8,8
distant,Adjective,1,Adjective,440,440
distantly,Adverb,1,Adverb,8,8
distaste,Noun,1,Noun,13,13
distasteful,Adjective,1,Adjective,59,59
distemper,Noun,0.89,Noun.Verb,8.1,8
distempered,Adjective,1,Adjective,1,1
distend,Verb,1,Verb,1,1
distended,Verb,0.75,Verb.Adjective,21.7,21
distending,Verb,1,Verb,3,3
distension,Noun,1,Noun,5,5
distention,Noun,1,Noun,4,4
distill,Verb,1,Verb,7,7
distillate,Noun,1,Noun,1,1
distillation,Noun,1,Noun,7,7
distilled,Adjective,0.66,Adjective.Verb,21.11,21
distiller,Noun,1,Noun,3,3
distillers,Noun,1,Noun,2,2
distillery,Noun,1,Noun,14,14
distilling,Verb,0.57,Verb.Adjective,4.3,4
distinct,Adjective,1,Adjective,155,155
distinction,Noun,1,Noun,150,150
distinctions,Noun,1,Noun,23,23
distinctive,Adjective,1,Adjective,79,79
distinctively,Adverb,1,Adverb,1,1
distinctiveness,Noun,1,Noun,1,1
distinctly,Adverb,1,Adverb,96,96
distinguish,Verb,1,Verb,91,91
distinguishable,Adjective,1,Adjective,1,1
distinguished,Adjective,0.9,Adjective.Verb,285.31,285
distinguishes,Verb,1,Verb,7,7
distinguishing,Adjective,0.79,Adjective.Verb,22.6,22
distort,Verb,1,Verb,20,20
distorted,Adjective,0.68,Adjective.Verb,70.33,70
distorters,Noun,1,Noun,1,1
distorting,Verb,1,Verb,14,14
distortion,Noun,1,Noun,60,60
distortions,Noun,1,Noun,31,31
distorts,Verb,1,Verb,11,11
distract,Verb,1,Verb,250,250
distracted,Verb,0.99,Verb.Adjective,374.3,374
distracter,Noun,1,Noun,1,1
distracting,Verb,0.79,Verb.Adjective,104.27,104
distraction,Noun,1,Noun,200,200
distractions,Noun,1,Noun,87,87
distracts,Verb,1,Verb,21,21
distraught,Adjective,1,Adjective,79,79
distress,Noun,1,Noun,371,371
distressed,Verb,0.61,Verb.Adjective,43.27,43
distresses,Noun,1,Noun,5,5
distressing,Adjective,1,Adjective,42,42
distressingly,Adverb,1,Adverb,3,3
distributable,Adjective,1,Adjective,1,1
distribute,Verb,1,Verb,75,75
distributed,Verb,0.96,Verb.Adjective,64.3,64
distributer,Noun,1,Noun,1,1
distributes,Verb,1,Verb,9,9
distributing,Verb,1,Verb,30,30
distribution,Noun,1,Noun,157,157
distributor,Noun,1,Noun,78,78
distributors,Noun,1,Noun,25,25
distributorship,Noun,1,Noun,1,1
district,Noun,0.95,Noun.Name,1018.49,1018
districts,Noun,1,Noun,29,29
distrust,Verb,0.53,Verb.Noun,20.18,20
distrusted,Verb,1,Verb,2,2
distrustful,Adjective,1,Adjective,5,5
distrusts,Verb,1,Verb,1,1
disturb,Verb,1,Verb,567,567
disturbance,Noun,1,Noun,201,201
disturbances,Noun,1,Noun,42,42
disturbed,Verb,0.77,Verb.Adjective,389.113,389
disturber,Noun,1,Noun,1,1
disturbers,Noun,1,Noun,3,3
disturbing,Adjective,0.7,Adjective.Verb,325.14,325
disturbingly,Adverb,1,Adverb,10,10
disturbs,Verb,1,Verb,46,46
disulphide,Verb,1,Verb,1,1
disuse,Noun,1,Noun,3,3
disused,Adjective,1,Adjective,5,5
dit,Noun,0.55,Noun.Verb.Name,6.4.1,6
dita,Name,1,Name,1,1
ditch,Verb,0.54,Verb.Noun,214.186,214
ditchdigger,Noun,1,Noun,2,2
ditched,Verb,0.99,Verb.Adjective,117.1,117
ditches,Noun,0.85,Noun.Verb,35.6,35
ditching,Verb,0.98,Verb.Noun,39.1,39
dite,Noun,1,Noun,2,2
dither,Noun,0.75,Noun.Verb,3.1,3
dithering,Verb,0.5,Verb.Name,2.2,2
ditsiest,Adjective,1,Adjective,1,1
ditsy,Adjective,1,Adjective,3,3
ditties,Noun,1,Noun,5,5
ditto,Noun,1,Noun,84,84
ditty,Noun,0.95,Noun.Name,38.2,38
ditz,Noun,1,Noun,6,6
ditzy,Adjective,0.86,Adjective.Name,6.1,6
diuresis,Noun,1,Noun,3,3
diuretic,Adjective,0.89,Adjective.Noun,8.1,8
diuretics,Noun,1,Noun,4,4
diurnal,Adjective,1,Adjective,2,2
div,Number,1,Number,2,2
diva,Noun,0.71,Noun.Name,55.23,55
divan,Noun,1,Noun,6,6
divas,Noun,0.75,Noun.Name,3.1,3
dive,Verb,0.55,Verb.Noun,360.294,360
dived,Verb,1,Verb,21,21
diver,Noun,0.95,Noun.Name,117.6,117
diverge,Verb,1,Verb,1,1
diverged,Verb,1,Verb,10,10
divergence,Noun,1,Noun,3,3
divergences,Noun,1,Noun,3,3
divergent,Adjective,1,Adjective,4,4
diverges,Verb,1,Verb,1,1
diverging,Verb,0.5,Verb.Adjective,1.1,1
divers,Noun,0.96,Noun.Adjective,78.3,78
diverse,Adjective,1,Adjective,39,39
diversification,Noun,1,Noun,7,7
diversified,Verb,1,Verb,3,3
diversifies,Verb,1,Verb,1,1
diversify,Verb,1,Verb,15,15
diversifying,Verb,1,Verb,3,3
diversion,Noun,1,Noun,158,158
diversionary,Adjective,1,Adjective,25,25
diversions,Noun,1,Noun,29,29
diversities,Noun,1,Noun,2,2
diversity,Noun,1,Noun,56,56
divert,Verb,1,Verb,104,104
diverted,Verb,0.97,Verb.Adjective,38.1,38
diverter,Noun,1,Noun,1,1
diverticulitis,Noun,1,Noun,6,6
diverticulum,Noun,1,Noun,6,6
diverting,Verb,0.82,Verb.Adjective,18.4,18
divertissement,Noun,1,Noun,3,3
divertissements,Noun,1,Noun,1,1
divertive,Adjective,1,Adjective,3,3
diverts,Verb,1,Verb,4,4
dives,Verb,0.65,Verb.Noun,33.18,33
divest,Verb,1,Verb,4,4
divested,Verb,0.67,Verb.Adjective,2.1,2
divesting,Verb,1,Verb,1,1
divestiture,Noun,1,Noun,3,3
divests,Verb,1,Verb,1,1
divide,Verb,0.85,Verb.Noun,252.46,252
divided,Verb,0.88,Verb.Adjective,201.27,201
dividend,Noun,1,Noun,19,19
dividends,Noun,1,Noun,29,29
divider,Noun,1,Noun,8,8
dividers,Noun,1,Noun,2,2
divides,Verb,1,Verb,34,34
dividing,Verb,0.84,Verb.Adjective.Noun,51.9.1,51
divination,Noun,1,Noun,5,5
divine,Adjective,0.89,Adjective.Noun.Verb.Name,524.38.27.2,524
divined,Verb,1,Verb,4,4
divinely,Adverb,1,Adverb,33,33
diviner,Name,0.75,Name.Adjective,3.1,3
diving,Verb,0.39,Verb.Adjective.Noun,126.115.80,126
divining,Adjective,0.75,Adjective.Verb.Noun,6.1.1,6
divinities,Noun,1,Noun,3,3
divinity,Noun,1,Noun,43,43
divisi,#N/A,#N/A,#N/A,#N/A,#N/A
divisibility,Noun,1,Noun,1,1
divisible,Adjective,1,Adjective,4,4
division,Noun,1,Noun.Name,944.1,944
divisional,Adjective,1,Adjective,16,16
divisions,Noun,1,Noun,130,130
divisive,Adjective,1,Adjective,7,7
divisiveness,Noun,1,Noun,1,1
divisors,Noun,1,Noun,1,1
divorce,Noun,0.83,Noun.Verb,1397.291,1397
divorced,Verb,0.55,Verb.Adjective,452.37,452
divorcee,Noun,1,Noun,24,24
divorcees,Noun,1,Noun,6,6
divorcement,Noun,0.75,Noun.Name,3.1,3
divorcer,Noun,1,Noun,2,2
divorces,Noun,0.8,Noun.Verb,40.1,40
divorcing,Verb,0.98,Verb.Noun,50.1,50
divot,Name,0.43,Name.Verb.Noun,6.4.4,6
divots,Noun,1,Noun,7,7
divulge,Verb,0.98,Verb.Name,64.1,64
divulged,Verb,1,Verb,7,7
divulger,Noun,1,Noun,1,1
divulges,Verb,1,Verb,1,1
divulging,Verb,1,Verb,6,6
divvied,Verb,1,Verb,2,2
divvy,Noun,0.77,Noun.Adjective.Name,17.3.2,17
